home,away,date,stage,group
Mexico,South Africa,2026-06-11 19:00:00+00:00,GROUP_STAGE,GROUP_A
South Korea,Czechia,2026-06-12 02:00:00+00:00,GROUP_STAGE,GROUP_A
Canada,Bosnia-Herzegovina,2026-06-12 19:00:00+00:00,GROUP_STAGE,GROUP_B
United States,Paraguay,2026-06-13 01:00:00+00:00,GROUP_STAGE,GROUP_D
Qatar,Switzerland,2026-06-13 19:00:00+00:00,GROUP_STAGE,GROUP_B
Brazil,Morocco,2026-06-13 22:00:00+00:00,GROUP_STAGE,GROUP_C
Haiti,Scotland,2026-06-14 01:00:00+00:00,GROUP_STAGE,GROUP_C
Australia,Turkey,2026-06-14 04:00:00+00:00,GROUP_STAGE,GROUP_D
Germany,Curaçao,2026-06-14 17:00:00+00:00,GROUP_STAGE,GROUP_E
Netherlands,Japan,2026-06-14 20:00:00+00:00,GROUP_STAGE,GROUP_F
Ivory Coast,Ecuador,2026-06-14 23:00:00+00:00,GROUP_STAGE,GROUP_E
Sweden,Tunisia,2026-06-15 02:00:00+00:00,GROUP_STAGE,GROUP_F
Spain,Cape Verde Islands,2026-06-15 16:00:00+00:00,GROUP_STAGE,GROUP_H
Belgium,Egypt,2026-06-15 19:00:00+00:00,GROUP_STAGE,GROUP_G
Saudi Arabia,Uruguay,2026-06-15 22:00:00+00:00,GROUP_STAGE,GROUP_H
Iran,New Zealand,2026-06-16 01:00:00+00:00,GROUP_STAGE,GROUP_G
France,Senegal,2026-06-16 19:00:00+00:00,GROUP_STAGE,GROUP_I
Iraq,Norway,2026-06-16 22:00:00+00:00,GROUP_STAGE,GROUP_I
Argentina,Algeria,2026-06-17 01:00:00+00:00,GROUP_STAGE,GROUP_J
Austria,Jordan,2026-06-17 04:00:00+00:00,GROUP_STAGE,GROUP_J
Portugal,Congo DR,2026-06-17 17:00:00+00:00,GROUP_STAGE,GROUP_K
England,Croatia,2026-06-17 20:00:00+00:00,GROUP_STAGE,GROUP_L
Ghana,Panama,2026-06-17 23:00:00+00:00,GROUP_STAGE,GROUP_L
Uzbekistan,Colombia,2026-06-18 02:00:00+00:00,GROUP_STAGE,GROUP_K
Czechia,South Africa,2026-06-18 16:00:00+00:00,GROUP_STAGE,GROUP_A
Switzerland,Bosnia-Herzegovina,2026-06-18 19:00:00+00:00,GROUP_STAGE,GROUP_B
Canada,Qatar,2026-06-18 22:00:00+00:00,GROUP_STAGE,GROUP_B
Mexico,South Korea,2026-06-19 01:00:00+00:00,GROUP_STAGE,GROUP_A
United States,Australia,2026-06-19 19:00:00+00:00,GROUP_STAGE,GROUP_D
Scotland,Morocco,2026-06-19 22:00:00+00:00,GROUP_STAGE,GROUP_C
Brazil,Haiti,2026-06-20 00:30:00+00:00,GROUP_STAGE,GROUP_C
Turkey,Paraguay,2026-06-20 03:00:00+00:00,GROUP_STAGE,GROUP_D
Netherlands,Sweden,2026-06-20 17:00:00+00:00,GROUP_STAGE,GROUP_F
Germany,Ivory Coast,2026-06-20 20:00:00+00:00,GROUP_STAGE,GROUP_E
Ecuador,Curaçao,2026-06-21 00:00:00+00:00,GROUP_STAGE,GROUP_E
Tunisia,Japan,2026-06-21 04:00:00+00:00,GROUP_STAGE,GROUP_F
