home,away,date,stage,group
,,2026-06-28 19:00:00+00:00,LAST_32,
,,2026-06-29 17:00:00+00:00,LAST_32,
,,2026-06-29 20:30:00+00:00,LAST_32,
,,2026-06-30 01:00:00+00:00,LAST_32,
,,2026-06-30 17:00:00+00:00,LAST_32,
,,2026-06-30 21:00:00+00:00,LAST_32,
,,2026-07-01 01:00:00+00:00,LAST_32,
,,2026-07-01 16:00:00+00:00,LAST_32,
,,2026-07-01 20:00:00+00:00,LAST_32,
,,2026-07-02 00:00:00+00:00,LAST_32,
,,2026-07-02 19:00:00+00:00,LAST_32,
,,2026-07-02 23:00:00+00:00,LAST_32,
,,2026-07-03 03:00:00+00:00,LAST_32,
,,2026-07-03 18:00:00+00:00,LAST_32,
,,2026-07-03 22:00:00+00:00,LAST_32,
,,2026-07-04 01:30:00+00:00,LAST_32,
,,2026-07-04 17:00:00+00:00,LAST_16,
,,2026-07-04 21:00:00+00:00,LAST_16,
,,2026-07-05 20:00:00+00:00,LAST_16,
,,2026-07-06 00:00:00+00:00,LAST_16,
,,2026-07-06 19:00:00+00:00,LAST_16,
,,2026-07-07 00:00:00+00:00,LAST_16,
,,2026-07-07 16:00:00+00:00,LAST_16,
,,2026-07-07 20:00:00+00:00,LAST_16,
,,2026-07-09 20:00:00+00:00,QUARTER_FINALS,
,,2026-07-10 19:00:00+00:00,QUARTER_FINALS,
,,2026-07-11 21:00:00+00:00,QUARTER_FINALS,
,,2026-07-12 01:00:00+00:00,QUARTER_FINALS,
,,2026-07-14 19:00:00+00:00,SEMI_FINALS,
,,2026-07-15 19:00:00+00:00,SEMI_FINALS,
,,2026-07-18 21:00:00+00:00,THIRD_PLACE,
,,2026-07-19 19:00:00+00:00,FINAL,
