home,away,date,stage,group
Mexico,South Africa,2026-06-11T19:00:00Z,GROUP_STAGE,GROUP_A
South Korea,Czechia,2026-06-12T02:00:00Z,GROUP_STAGE,GROUP_A
Canada,Bosnia-Herzegovina,2026-06-12T19:00:00Z,GROUP_STAGE,GROUP_B
United States,Paraguay,2026-06-13T01:00:00Z,GROUP_STAGE,GROUP_D
Qatar,Switzerland,2026-06-13T19:00:00Z,GROUP_STAGE,GROUP_B
Brazil,Morocco,2026-06-13T22:00:00Z,GROUP_STAGE,GROUP_C
Haiti,Scotland,2026-06-14T01:00:00Z,GROUP_STAGE,GROUP_C
Australia,Turkey,2026-06-14T04:00:00Z,GROUP_STAGE,GROUP_D
Germany,Curaçao,2026-06-14T17:00:00Z,GROUP_STAGE,GROUP_E
Netherlands,Japan,2026-06-14T20:00:00Z,GROUP_STAGE,GROUP_F
Ivory Coast,Ecuador,2026-06-14T23:00:00Z,GROUP_STAGE,GROUP_E
Sweden,Tunisia,2026-06-15T02:00:00Z,GROUP_STAGE,GROUP_F
Spain,Cape Verde Islands,2026-06-15T16:00:00Z,GROUP_STAGE,GROUP_H
Belgium,Egypt,2026-06-15T19:00:00Z,GROUP_STAGE,GROUP_G
Saudi Arabia,Uruguay,2026-06-15T22:00:00Z,GROUP_STAGE,GROUP_H
Iran,New Zealand,2026-06-16T01:00:00Z,GROUP_STAGE,GROUP_G
France,Senegal,2026-06-16T19:00:00Z,GROUP_STAGE,GROUP_I
Iraq,Norway,2026-06-16T22:00:00Z,GROUP_STAGE,GROUP_I
Argentina,Algeria,2026-06-17T01:00:00Z,GROUP_STAGE,GROUP_J
Austria,Jordan,2026-06-17T04:00:00Z,GROUP_STAGE,GROUP_J
Portugal,Congo DR,2026-06-17T17:00:00Z,GROUP_STAGE,GROUP_K
England,Croatia,2026-06-17T20:00:00Z,GROUP_STAGE,GROUP_L
Ghana,Panama,2026-06-17T23:00:00Z,GROUP_STAGE,GROUP_L
Uzbekistan,Colombia,2026-06-18T02:00:00Z,GROUP_STAGE,GROUP_K
Czechia,South Africa,2026-06-18T16:00:00Z,GROUP_STAGE,GROUP_A
Switzerland,Bosnia-Herzegovina,2026-06-18T19:00:00Z,GROUP_STAGE,GROUP_B
Canada,Qatar,2026-06-18T22:00:00Z,GROUP_STAGE,GROUP_B
Mexico,South Korea,2026-06-19T01:00:00Z,GROUP_STAGE,GROUP_A
United States,Australia,2026-06-19T19:00:00Z,GROUP_STAGE,GROUP_D
Scotland,Morocco,2026-06-19T22:00:00Z,GROUP_STAGE,GROUP_C
Brazil,Haiti,2026-06-20T00:30:00Z,GROUP_STAGE,GROUP_C
Turkey,Paraguay,2026-06-20T03:00:00Z,GROUP_STAGE,GROUP_D
Netherlands,Sweden,2026-06-20T17:00:00Z,GROUP_STAGE,GROUP_F
Germany,Ivory Coast,2026-06-20T20:00:00Z,GROUP_STAGE,GROUP_E
Ecuador,Curaçao,2026-06-21T00:00:00Z,GROUP_STAGE,GROUP_E
Tunisia,Japan,2026-06-21T04:00:00Z,GROUP_STAGE,GROUP_F
Spain,Saudi Arabia,2026-06-21T16:00:00Z,GROUP_STAGE,GROUP_H
Belgium,Iran,2026-06-21T19:00:00Z,GROUP_STAGE,GROUP_G
Uruguay,Cape Verde Islands,2026-06-21T22:00:00Z,GROUP_STAGE,GROUP_H
New Zealand,Egypt,2026-06-22T01:00:00Z,GROUP_STAGE,GROUP_G
Argentina,Austria,2026-06-22T17:00:00Z,GROUP_STAGE,GROUP_J
France,Iraq,2026-06-22T21:00:00Z,GROUP_STAGE,GROUP_I
Norway,Senegal,2026-06-23T00:00:00Z,GROUP_STAGE,GROUP_I
Jordan,Algeria,2026-06-23T03:00:00Z,GROUP_STAGE,GROUP_J
Portugal,Uzbekistan,2026-06-23T17:00:00Z,GROUP_STAGE,GROUP_K
England,Ghana,2026-06-23T20:00:00Z,GROUP_STAGE,GROUP_L
Panama,Croatia,2026-06-23T23:00:00Z,GROUP_STAGE,GROUP_L
Colombia,Congo DR,2026-06-24T02:00:00Z,GROUP_STAGE,GROUP_K
Switzerland,Canada,2026-06-24T19:00:00Z,GROUP_STAGE,GROUP_B
Bosnia-Herzegovina,Qatar,2026-06-24T19:00:00Z,GROUP_STAGE,GROUP_B
Morocco,Haiti,2026-06-24T22:00:00Z,GROUP_STAGE,GROUP_C
Scotland,Brazil,2026-06-24T22:00:00Z,GROUP_STAGE,GROUP_C
Czechia,Mexico,2026-06-25T01:00:00Z,GROUP_STAGE,GROUP_A
South Africa,South Korea,2026-06-25T01:00:00Z,GROUP_STAGE,GROUP_A
Ecuador,Germany,2026-06-25T20:00:00Z,GROUP_STAGE,GROUP_E
Curaçao,Ivory Coast,2026-06-25T20:00:00Z,GROUP_STAGE,GROUP_E
Tunisia,Netherlands,2026-06-25T23:00:00Z,GROUP_STAGE,GROUP_F
Japan,Sweden,2026-06-25T23:00:00Z,GROUP_STAGE,GROUP_F
Turkey,United States,2026-06-26T02:00:00Z,GROUP_STAGE,GROUP_D
Paraguay,Australia,2026-06-26T02:00:00Z,GROUP_STAGE,GROUP_D
Norway,France,2026-06-26T19:00:00Z,GROUP_STAGE,GROUP_I
Senegal,Iraq,2026-06-26T19:00:00Z,GROUP_STAGE,GROUP_I
Uruguay,Spain,2026-06-27T00:00:00Z,GROUP_STAGE,GROUP_H
Cape Verde Islands,Saudi Arabia,2026-06-27T00:00:00Z,GROUP_STAGE,GROUP_H
New Zealand,Belgium,2026-06-27T03:00:00Z,GROUP_STAGE,GROUP_G
Egypt,Iran,2026-06-27T03:00:00Z,GROUP_STAGE,GROUP_G
Panama,England,2026-06-27T21:00:00Z,GROUP_STAGE,GROUP_L
Croatia,Ghana,2026-06-27T21:00:00Z,GROUP_STAGE,GROUP_L
Colombia,Portugal,2026-06-27T23:30:00Z,GROUP_STAGE,GROUP_K
Congo DR,Uzbekistan,2026-06-27T23:30:00Z,GROUP_STAGE,GROUP_K
Jordan,Argentina,2026-06-28T02:00:00Z,GROUP_STAGE,GROUP_J
Algeria,Austria,2026-06-28T02:00:00Z,GROUP_STAGE,GROUP_J
,,2026-06-28T19:00:00Z,LAST_32,
,,2026-06-29T17:00:00Z,LAST_32,
,,2026-06-29T20:30:00Z,LAST_32,
,,2026-06-30T01:00:00Z,LAST_32,
,,2026-06-30T17:00:00Z,LAST_32,
